feature,importance
inventory_id,1543
hour,1092
history_a_1,541
feat_e_3,362
age_group,350
l_feat_7,339
l_feat_10,325
feat_d_4,318
feat_c_8,311
l_feat_9,304
l_feat_14,295
l_feat_6,286
feat_b_6,262
l_feat_12,258
feat_b_3,256
feat_e_2,244
l_feat_5,242
l_feat_15,233
history_b_3,228
history_a_3,228
l_feat_11,216
seq,212
l_feat_4,200
feat_c_2,196
feat_e_1,192
feat_b_2,178
feat_b_5,177
history_b_30,169
feat_e_7,168
history_a_7,167
feat_c_3,167
feat_a_14,166
feat_c_4,163
l_feat_2,163
history_b_1,160
feat_c_5,160
history_b_2,154
feat_e_10,152
feat_b_1,150
feat_e_6,149
feat_e_9,141
feat_c_6,139
feat_e_8,128
history_a_4,113
history_b_10,113
feat_c_1,112
feat_d_5,111
feat_b_4,107
feat_e_5,103
history_a_2,101
history_b_17,92
day_of_week,91
feat_a_5,88
history_a_5,86
feat_c_7,83
feat_d_6,79
l_feat_26,79
gender,78
l_feat_27,75
history_b_9,74
feat_d_1,66
history_b_15,65
l_feat_25,62
l_feat_17,57
feat_a_17,55
l_feat_3,53
l_feat_8,51
history_a_6,49
history_b_28,48
l_feat_13,47
history_b_4,47
feat_d_2,45
l_feat_18,45
history_b_27,44
history_b_26,43
feat_a_6,42
history_b_12,42
feat_d_3,40
history_b_5,37
feat_a_18,37
l_feat_1,36
history_b_8,33
history_b_19,32
feat_a_15,30
feat_a_16,30
history_b_11,29
feat_a_9,23
feat_a_7,20
feat_a_11,20
history_b_14,20
history_b_22,20
history_b_20,20
feat_a_12,19
history_b_7,18
history_b_13,18
feat_a_10,17
feat_a_13,17
l_feat_19,17
history_b_24,15
feat_a_1,14
l_feat_21,14
feat_a_3,12
history_b_29,10
history_b_6,10
feat_a_8,9
history_b_23,9
history_b_18,7
feat_e_4,7
history_b_25,7
feat_a_4,6
feat_a_2,5
l_feat_24,4
history_b_16,4
l_feat_22,4
l_feat_23,0
l_feat_20,0
l_feat_16,0
history_b_21,0
